uf,total_pessoas,perc_branca,perc_preta,perc_parda,perc_preta_ou_parda,ano
RO,1786,30.9,6.1,62.2,68.3,2020
AC,878,17.1,4.5,77.4,81.8,2020
AM,4044,13.3,2.1,81.9,84.0,2020
RR,563,17.9,7.4,69.2,76.6,2020
PA,8649,17.4,6.9,75.0,81.9,2020
AP,853,15.6,4.7,78.8,83.5,2020
TO,1577,19.3,12.2,67.2,79.4,2020
MA,7080,16.9,10.6,71.7,82.4,2020
PI,3281,18.6,9.0,72.2,81.2,2020
CE,9184,25.2,5.1,68.7,73.7,2020
RN,3534,38.1,7.4,54.4,61.8,2020
PB,4018,31.5,5.6,62.4,68.0,2020
PE,9559,29.4,6.5,62.9,69.4,2020
AL,3344,26.0,5.4,67.6,73.0,2020
SE,2319,18.7,9.2,71.6,80.7,2020
BA,14911,18.7,22.3,58.3,80.6,2020
MG,21282,38.9,11.2,49.8,61.0,2020
ES,4060,37.9,10.1,51.6,61.7,2020
RJ,17366,44.9,13.2,41.5,54.7,2020
SP,46283,58.8,7.4,32.0,39.4,2020
PR,11503,64.8,3.4,30.3,33.7,2020
SC,7241,82.9,2.7,14.1,16.8,2020
RS,11404,80.6,6.2,12.9,19.1,2020
MS,2739,43.2,6.1,48.8,54.9,2020
MT,3472,29.7,9.8,59.7,69.5,2020
GO,7116,34.9,7.5,57.2,64.7,2020
DF,3053,39.1,9.3,50.7,60.0,2020